TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
442452008373850112    en    -1.04E+02    en correct
442452714929528832    eu    -1.68E+02    es wrong
442453978170019840    gl    -1.85E+02    es wrong
442456532534722560    eu    -1.08E+01    eu correct
442458863322034176    eu    -1.84E+02    es wrong
442463962261889024    gl    -3.33E+01    es wrong
442465080744366080    eu    -6.04E+01    eu correct
442466095048687616    gl    -5.62E+01    es wrong
442471395407437825    es    -1.71E+02    es correct
442474864851845120    gl    -4.59E+01    es wrong
442481527025586176    gl    -1.84E+02    es wrong
442489571318964224    eu    -1.35E+02    es wrong
442510429903126528    eu    -1.40E+02    es wrong
442571125089124352    eu    -9.57E+01    es wrong
442575844549349376    eu    -1.28E+02    es wrong
442580767471054848    gl    -6.50E+01    es wrong
442584173849874432    eu    -8.50E+01    es wrong
442587291899691008    gl    -1.56E+02    es wrong
442589216988729345    eu    -4.67E+01    eu correct
442591729095823360    eu    -2.43E+00    eu correct
442592901814833152    gl    -1.02E+02    es wrong
442594162500960256    es    -3.77E+01    es correct
442595073017266176    eu    -2.72E+01    es wrong
442606153974177792    eu    -8.67E+01    es wrong
442615427139923968    eu    -1.40E+02    es wrong
442618616358649856    en    -9.91E+00    en correct
442618996811382784    eu    -2.36E+02    es wrong
442619999522664448    gl    -2.71E+01    es wrong
442621675327483904    en    -1.36E+02    en correct
442622137967603712    gl    -3.26E+01    es wrong
442622858305740801    gl    -1.28E+02    es wrong
442628445793943552    eu    -7.00E+01    es wrong
442628762891743232    gl    -1.67E+02    es wrong
442631436924092416    gl    -1.87E+02    es wrong
442631716151496704    gl    -9.85E+01    es wrong
442632159678181376    gl    -1.10E+02    es wrong
442634119584157696    gl    -1.91E+01    es wrong
442635322267287552    eu    -1.94E+02    es wrong
442635688987852800    gl    -7.86E+01    es wrong
442635754729373696    gl    -4.13E+01    es wrong
442639480395403264    gl    -1.31E+02    es wrong
442639927306878976    es    -6.01E+01    es correct
442641382982041600    gl    -1.39E+02    es wrong
442641880271314944    gl    -2.09E+02    es wrong
442642213529726976    eu    -1.32E+02    es wrong
442642912548245505    gl    -3.67E+01    es wrong
442643847446024192    gl    -6.20E+01    es wrong
442645784090386432    gl    -1.32E+02    es wrong
442647136606625792    eu    -4.13E+01    eu correct
442647666699534336    en    -1.49E+01    es wrong
442648475671752704    gl    -1.84E+01    es wrong
442649014081945600    gl    -1.08E+02    es wrong
442650465084669953    eu    -4.05E+01    es wrong
442652696181735424    eu    -9.91E+01    eu correct
442655411955843072    eu    -2.63E+01    en wrong
442655797542400000    en    -5.32E+01    es wrong
442656500323196928    eu    -3.23E+01    eu correct
442662617854009344    gl    -1.23E+02    es wrong
442664087093534721    gl    -6.41E+01    es wrong
442664166789513218    eu    -8.78E+01    es wrong
442665771739906048    ca    -4.11E+01    es wrong
442670011187224577    eu    -7.31E+01    es wrong
442670599589363712    gl    -4.79E+01    es wrong
442672879826915328    en    -6.54E+01    es wrong
442674928060743680    gl    -1.08E+02    es wrong
442677397973114880    eu    -2.56E+01    es wrong
442679304066183168    gl    -7.17E+01    es wrong
442680388759339008    gl    -2.00E+01    es wrong
442681505253703681    eu    -1.34E+02    es wrong
442684675463868416    eu    -5.97E+01    eu correct
442685996447318016    gl    -3.52E+01    es wrong
442686048246972416    eu    -2.74E+01    eu correct
442696115063119872    eu    -7.11E+01    en wrong
442704423375364096    en    -1.01E+02    en correct
442706436519657472    eu    -9.22E+01    es wrong
442714352710606848    gl    -7.05E+01    es wrong
442714989800194048    gl    -1.61E+02    es wrong
442719778944589824    pt    -6.51E+01    pt correct
442719855373197314    en    -3.69E+01    en correct
442721255557693441    es    -1.17E+01    es correct
442723756411461632    pt    -5.42E+01    pt correct
442723992273973248    eu    -8.25E+01    en wrong
442725031291142146    gl    -2.06E+01    es wrong
442725077545938944    gl    -4.34E+01    es wrong
442728733112537088    eu    -5.24E+01    es wrong
442728811248246784    eu    -9.89E+01    es wrong
442730503549235200    en    -1.04E+02    es wrong
442731232250826752    eu    -7.49E+01    en wrong
442731446839803905    eu    -6.58E+01    es wrong
442732846613274625    en    -1.38E+02    en correct
442733529315934208    eu    -7.21E+01    es wrong
442742117870612480    gl    -9.16E+01    es wrong
442742153857732611    eu    -1.96E+01    en wrong
442742790381142017    gl    -8.10E+01    es wrong
442743130857943040    gl    -7.39E+01    es wrong
442743361892384768    gl    -1.72E+02    es wrong
442743695482585088    eu    -5.60E+01    eu correct
442746493465034752    eu    -5.93E+01    eu correct
442746868809076736    gl    -7.22E+01    es wrong
442749703915315200    eu    -1.97E+02    es wrong
442752871164305409    es    -1.77E+01    es correct
442753549236457472    eu    -1.02E+02    es wrong
442754457676566530    eu    -1.31E+02    es wrong
442755814961729536    eu    -2.14E+02    es wrong
442757878127280128    es    -5.97E+01    es correct
442759704939622400    gl    -5.39E+01    es wrong
442761167711535104    gl    -1.47E+02    es wrong
442761310561128448    es    -3.17E+01    es correct
442761470552866816    es    -3.48E+01    es correct
442762761555419138    ca    -1.48E+02    es wrong
442763386108248064    gl    -8.81E+01    es wrong
442764262214496256    eu    -4.02E+01    es wrong
442764339234492416    gl    -5.32E+01    es wrong
442764734740586496    eu    -1.24E+02    es wrong
442765990150291456    en    -3.51E+01    es wrong
442768417758908416    eu    -5.47E+01    es wrong
442771102394490880    gl    -1.77E+02    es wrong
442771508717715457    eu    -1.38E+02    es wrong
442772041729851392    gl    -1.19E+01    es wrong
442777663900352512    eu    -5.00E+01    es wrong
442780408728805376    eu    -1.52E+02    es wrong
442781420256518144    gl    -7.96E+01    es wrong
442782215123238912    gl    -1.48E+02    es wrong
442782930222723072    eu    -1.57E+02    es wrong
442782986866814977    eu    -1.08E+02    es wrong
442783038842626048    gl    -7.51E+01    es wrong
442783461552955393    eu    -2.12E+01    es wrong
442784618300080128    gl    -9.40E+01    es wrong
442784825314115584    eu    -3.12E+01    eu correct
442785328286670848    eu    -1.71E+02    es wrong
442786697789833216    gl    -2.21E+02    es wrong
442786839888687104    gl    -4.29E+01    es wrong
442788132795461632    gl    -1.29E+02    es wrong
442788574124318720    eu    -7.85E+01    es wrong
442788932611473408    gl    -3.65E+01    es wrong
442789156457299968    en    -1.31E+02    en correct
442790874771390464    gl    -9.72E+01    es wrong
442791270423875585    gl    -8.47E+01    es wrong
442792626677616640    gl    -2.90E+01    es wrong
442793702399160320    en    -1.70E+02    en correct
442794612290494464    gl    -7.18E+01    es wrong
442796989961756672    en    -5.64E+01    en correct
442797314252750848    gl    -1.21E+02    es wrong
442797572177289216    eu    -7.10E+01    eu correct
442797659246825472    gl    -1.95E+02    es wrong
442797950738378753    eu    -2.14E+02    es wrong
442797951765983233    eu    -8.23E+01    es wrong
442799710580244480    eu    -1.01E+02    es wrong
442799824669507584    gl    -1.81E+02    es wrong
442801748835856384    en    -5.41E+01    en correct
442802602540298240    gl    -2.21E+02    es wrong
442802690243182592    gl    -6.54E+01    es wrong
442803403677532160    gl    -2.28E+01    es wrong
442806747141775360    gl    -1.15E+02    es wrong
442808979660734464    eu    -1.56E+02    eu correct
442809612384075777    eu    -1.12E+02    es wrong
442818226888908800    gl    -3.56E+01    es wrong
442819358784770050    gl    -1.15E+02    es wrong
442824309204324352    eu    -2.17E+02    es wrong
442825123578802178    gl    -4.38E+01    es wrong
442828279465390080    eu    -8.50E+01    es wrong
442828621364072448    gl    -1.60E+02    es wrong
442840802675671040    eu    -1.53E+02    es wrong
442848849766674433    eu    -9.04E+01    es wrong
442855776210935808    gl    -2.18E+02    es wrong
442878553286524928    gl    -6.11E+01    es wrong
442896131635552256    gl    -1.16E+02    es wrong
442908487929303040    eu    -8.98E+01    es wrong
442909851849854976    gl    -8.79E+01    es wrong
442911068080578560    gl    -9.48E+01    es wrong
442911433370906624    eu    -2.65E+01    es wrong
442918800049307648    gl    -3.98E+01    es wrong
442919407485218816    gl    -6.29E+01    es wrong
442919577979486208    gl    -5.38E+01    es wrong
442920689906221056    gl    -1.31E+02    es wrong
442922213986295808    gl    -1.69E+02    es wrong
442926948030111744    gl    -1.25E+02    es wrong
442930857184342016    gl    -2.13E+02    es wrong
442932555181211648    gl    -4.98E+01    es wrong
442935000791801857    gl    -1.84E+02    es wrong
442938124885581824    eu    -2.26E+02    es wrong
442942809465958400    en    -1.68E+02    en correct
442966421593923584    gl    -1.46E+02    es wrong
442966552619790336    eu    -5.30E+01    es wrong
442970771401748480    eu    -3.65E+01    es wrong
442976740684886016    gl    -7.49E+01    es wrong
442984016862777344    gl    -7.93E+01    es wrong
442985908561014784    gl    -2.25E+02    es wrong
442990748922040320    eu    -4.47E+01    es wrong
442991511496835072    gl    -1.90E+02    es wrong
442992688921853952    eu    -1.84E+02    eu correct
442994754901798912    es    -1.29E+02    es correct
442994857171513344    gl    -2.01E+02    es wrong
442996167644020736    en    -5.97E+01    es wrong
442999421572489216    eu    -4.48E+01    eu correct
443000821211738112    eu    -2.01E+01    eu correct
443001465561694208    es    -2.24E+02    es correct
443002559130001408    gl    -6.85E+01    es wrong
443011765514022912    gl    -9.18E+01    es wrong
443021390971949056    gl    -1.82E+02    es wrong
443022453934411776    es    -1.87E+02    es correct
443022992831160320    gl    -1.22E+02    es wrong
443025101781753856    gl    -1.32E+02    es wrong
443027110618468352    eu    -3.00E+01    eu correct
443027826279985152    gl    -4.37E+01    es wrong
443028737089896448    gl    -2.27E+02    es wrong
443031803868491776    gl    -1.98E+02    es wrong
443035761089466368    eu    -2.01E+02    es wrong
443042090113839104    eu    -5.52E+01    eu correct
443042864969551872    eu    -1.57E+02    es wrong
443050970722103296    gl    -2.09E+02    es wrong
443053470791532544    gl    -1.76E+02    es wrong
443053795954925568    gl    -1.03E+02    es wrong
443054413574598656    gl    -7.94E+01    es wrong
443054685659095040    es    -3.60E+01    es correct
443055817395539969    gl    -5.86E+01    es wrong
443056770274295808    gl    -1.51E+02    es wrong
443059412409008128    gl    -1.97E+02    es wrong
443060038383702016    gl    -1.08E+02    es wrong
443062861578141696    eu    -1.61E+02    es wrong
443062933552390144    eu    -1.70E+02    eu correct
443066364765675521    eu    -1.12E+02    eu correct
443068791837433856    gl    -9.58E+00    es wrong
443069126517743616    gl    -9.01E+01    es wrong
443069255706492928    ca    -3.19E+00    es wrong
443069572317708288    pt    -4.94E+01    es wrong
443069983284019200    gl    -9.82E+01    es wrong
443070485589680128    gl    -1.05E+02    es wrong
443073272453017601    gl    -4.39E+01    es wrong
443073638473170944    gl    -1.69E+01    es wrong
443075431340986369    eu    -1.68E+02    es wrong
443075524597133313    gl    -2.85E+01    es wrong
443077869221478400    eu    -6.91E+01    eu correct
443079390038327296    en    -1.95E+02    es wrong
443080882614980608    eu    -9.71E+01    eu correct
443084753236140032    eu    -1.82E+02    es wrong
443087460156080129    eu    -7.24E+01    es wrong
443087476828413953    en    -6.99E+01    en correct
443088710402596864    gl    -7.46E+01    es wrong
443093399315705856    gl    -5.61E+01    es wrong
443095995090755584    eu    -9.42E+01    es wrong
443096590094712832    gl    -1.93E+02    es wrong
443099258741620737    pt    -1.12E+02    pt correct
443099358498922497    eu    -8.06E+01    es wrong
443100982021746688    gl    -2.18E+02    es wrong
443101518980726784    gl    -5.59E+01    es wrong
443101765970722816    eu    -6.10E+01    es wrong
443104332754726912    eu    -6.89E+01    eu correct
443104856325500928    en    -5.42E+01    en correct
443105282219327488    eu    -6.69E+01    es wrong
443105895766310912    eu    -1.47E+02    es wrong
443105930109267968    gl    -4.52E+01    es wrong
443106163811688448    gl    -5.79E+01    es wrong
443106184904835073    eu    -1.88E+02    eu correct
443106539449364480    eu    -3.94E+01    es wrong
443107931001982976    en    -4.45E+01    en correct
443109379521654784    es    -2.82E+01    es correct
443109550930272257    eu    -8.86E+01    es wrong
443111613558956032    en    -1.25E+02    en correct
443111749932556289    eu    -2.40E+01    eu correct
443117041848168449    gl    -1.13E+02    es wrong
443117144747032577    pt    -7.73E+01    es wrong
443118483862470656    gl    -1.99E+02    es wrong
443119115642089472    gl    -6.75E+01    es wrong
443119726232080385    eu    -7.00E+01    es wrong
443121240556204033    gl    -1.15E+02    es wrong
443122029194412034    gl    -1.92E+02    es wrong
443122652023357443    eu    -8.49E+01    ca wrong
443124128372256768    gl    -6.88E+01    es wrong
443124345054175232    eu    -4.43E+01    es wrong
443125421702672385    gl    -7.34E+01    eu wrong
443127276205776896    gl    -6.84E+01    es wrong
443127531915735040    gl    -1.28E+02    es wrong
443128920305840130    eu    -5.36E+01    eu correct
443129900523061248    gl    -5.93E+01    es wrong
443130136024854528    eu    -5.82E+01    es wrong
443131606795309056    en    -3.60E+01    en correct
443131878544277504    eu    -1.69E+01    eu correct
443134793019318272    eu    -1.49E+02    es wrong
443135645276704768    eu    -3.20E+01    eu correct
443140544689369088    gl    -6.27E+01    es wrong
443140845093781504    es    -7.01E+00    es correct
443142181176770560    gl    -3.52E+01    es wrong
443143312086929409    eu    -3.45E+01    eu correct
443145537479786496    eu    -7.27E+01    es wrong
443147072859308032    gl    -4.15E+01    es wrong
443147345472270336    gl    -8.23E+01    es wrong
443151046165397504    gl    -3.25E+01    es wrong
443151593006186496    eu    -2.63E+01    eu correct
443151965762371585    gl    -3.79E+01    es wrong
443153533379289088    gl    -1.76E+02    es wrong
443156895889915904    gl    -1.33E+01    es wrong
443157229848788992    eu    -6.44E+01    es wrong
443159294230675457    gl    -1.14E+02    es wrong
443161721507966977    en    -2.26E+02    en correct
443162096302555136    en    -4.00E+01    en correct
443163280149053440    gl    -9.99E+01    es wrong
443163868571783168    eu    -6.76E+01    es wrong
443166968318033920    eu    -7.90E+01    es wrong
443167025469607936    eu    -8.40E+01    es wrong
443167655877677056    es    -1.98E+01    es correct
443170252495810561    gl    -7.24E+01    es wrong
443173049215778816    gl    -8.90E+01    es wrong
443178259313065984    gl    -2.23E+02    es wrong
443178821760864256    gl    -2.10E+02    es wrong
443180771143323648    gl    -1.02E+02    es wrong
443184101307473920    gl    -1.16E+02    es wrong
443188127956746240    eu    -1.91E+02    es wrong
443192866266169344    gl    -2.10E+02    es wrong
443270243583270912    gl    -3.72E+01    es wrong
443271524351758336    eu    -2.34E+02    es wrong
443271995032363008    eu    -6.99E+01    eu correct
443273240320815106    gl    -6.43E+01    es wrong
443277484214468608    gl    -2.03E+02    es wrong
443280901557198848    gl    -1.02E+02    es wrong
443283852111654912    gl    -1.11E+02    es wrong
443286317682921472    en    -3.17E+01    es wrong
443289930736078848    gl    -1.17E+02    es wrong
443299012641570816    eu    -1.14E+02    es wrong
443300857514565632    en    -3.84E+01    en correct
443303568398102528    gl    -1.62E+02    es wrong
443303579588501504    en    -9.68E+01    en correct
443306844636082176    eu    -5.05E+01    es wrong
443309358202753025    gl    -1.59E+02    es wrong
443313639664414720    en    -1.14E+02    es wrong
443314976930136064    eu    -2.69E+01    es wrong
443316380809854976    eu    -1.66E+02    eu correct
443319611963244544    gl    -7.23E+01    es wrong
443329947105775616    eu    -4.41E+01    es wrong
443334393256755200    gl    -1.56E+02    es wrong
443335749753372672    eu    -7.20E+01    eu correct
443343182089441280    gl    -2.26E+02    es wrong
443343666829336576    es    -9.10E+00    es correct
443343672852357120    gl    -4.25E+01    es wrong
443345400314200064    gl    -7.12E+01    es wrong
443348892885987328    gl    -1.86E+02    es wrong
443350115198468096    en    -1.28E+02    en correct
443351943306829824    en    -4.47E+01    en correct
443352342663270400    es    -6.41E+01    es correct
443356146880225281    eu    -4.59E+01    es wrong
443358727459328000    gl    -6.57E+01    es wrong
443359264577716224    gl    -7.28E+01    es wrong
443359826908033024    gl    -9.47E+01    es wrong
443370366703263744    eu    -1.91E+02    eu correct
443373216086904832    gl    -7.28E+01    es wrong
443378520371494913    gl    -8.37E+01    es wrong
443386920274759680    gl    -7.32E+01    es wrong
443392028983169024    eu    -4.95E+01    es wrong
443393324268146689    gl    -1.05E+02    es wrong
443393662266134528    gl    -2.08E+02    es wrong
443395077478830081    gl    -8.71E+01    es wrong
443399669897777152    gl    -1.38E+02    es wrong
443400268190085120    eu    -5.02E+01    es wrong
443401770363289600    gl    -9.69E+01    es wrong
443403675156107264    gl    -8.22E+01    es wrong
443408478431084544    gl    -3.67E+01    es wrong
443412871146647552    eu    -8.24E+01    eu correct
443413423880413184    gl    -2.55E+01    es wrong
443416328666640384    gl    -1.64E+01    es wrong
443420950324064256    gl    -1.39E+02    es wrong
443421266654298113    gl    -9.27E+01    es wrong
443423774265081856    ca    -7.35E+01    es wrong
443423788215304193    gl    -1.32E+02    es wrong
443425010086973440    eu    -8.29E+01    es wrong
443427486723219457    gl    -8.51E+01    es wrong
443427597729693696    gl    -1.30E+02    es wrong
443431708692848640    gl    -8.71E+01    es wrong
443432285808128001    gl    -9.54E+01    es wrong
443432709650935808    ca    -4.71E+01    es wrong
443434929524064256    gl    -5.92E+01    es wrong
443435421239111680    eu    -8.94E+01    es wrong
443436863144361984    eu    -3.94E+01    es wrong
443438477125107712    gl    -8.94E+01    es wrong
443439223254044672    eu    -1.26E+02    es wrong
443440985100804096    eu    -1.41E+02    es wrong
443443390794203137    gl    -2.13E+02    es wrong
443444923946512385    eu    -2.67E+01    es wrong
443451473255739392    eu    -7.27E+01    eu correct
443455986775646208    eu    -3.28E+01    es wrong
443460072593981440    gl    -6.65E+01    es wrong
443460415675432960    en    -2.09E+02    en correct
443460689651585026    gl    -6.57E+01    es wrong
443460933596491776    eu    -1.07E+02    es wrong
443463820334608384    gl    -2.46E+01    es wrong
443465303306276866    gl    -3.39E+01    es wrong
443465345228361728    eu    -4.39E+01    eu correct
443466140996481024    pt    -8.65E+01    es wrong
443466853109993472    eu    -5.46E+01    eu correct
443466910039285760    es    -9.60E+01    es correct
443471781794689025    eu    -1.26E+02    eu correct
443472794253557760    gl    -8.70E+01    es wrong
443473818422890496    gl    -2.70E+01    es wrong
443473907518296064    gl    -7.84E+01    es wrong
443476494372057088    eu    -7.63E+01    es wrong
443477378883682306    gl    -1.34E+02    es wrong
443477991621160960    eu    -6.18E+01    es wrong
443478741818572800    eu    -1.53E+02    es wrong
443480072759300096    eu    -2.20E+02    es wrong
443480464146563072    gl    -1.47E+02    es wrong
443480649346060288    eu    -1.53E+02    es wrong
443481080927379456    gl    -6.98E+01    es wrong
443481456103653377    gl    -8.65E+01    es wrong
443485281669623808    eu    -1.58E+02    es wrong
443485309935038464    gl    -8.07E+01    es wrong
443489936843759616    gl    -7.99E+01    es wrong
443490437769482240    eu    -9.14E+01    eu correct
443490834538045440    en    -7.08E+01    en correct
443491119780098048    gl    -3.56E+01    es wrong
443491327733686272    eu    -1.72E+01    es wrong
443492975524737024    en    -1.24E+02    en correct
443493197013319682    eu    -3.04E+01    es wrong
443493591651196929    gl    -3.23E+01    es wrong
443494418554032128    gl    -6.38E+01    es wrong
443495917216595968    gl    -2.16E+02    es wrong
443497423370211328    en    -1.09E+02    en correct
443499149754134528    eu    -8.08E+01    es wrong
443499462531776512    gl    -5.31E+01    es wrong
443500738241921024    gl    -2.10E+02    es wrong
443502722558734336    ca    -3.57E+01    es wrong
443503133512441857    pt    -9.40E+01    es wrong
443503168304197632    en    -4.03E+01    es wrong
443503567681626113    gl    -1.72E+02    es wrong
443503593443037184    eu    -2.38E+01    es wrong
443503803627999234    es    -4.32E+01    es correct
443503818119327744    en    -9.75E+01    es wrong
443504410095005696    en    -1.82E+02    en correct
443504415107207168    gl    -7.71E+01    es wrong
443504536976900096    en    -4.52E+01    en correct
443508391055736832    gl    -1.78E+02    es wrong
443510228358029313    gl    -2.30E+02    es wrong
443510326383104000    gl    -5.79E+01    es wrong
443511254020530176    eu    -7.50E+01    es wrong
443511799183593472    eu    -4.94E+01    es wrong
443512015639031808    en    -1.32E+02    en correct
443513020883668992    gl    -1.16E+02    es wrong
443515592776380416    ca    -2.54E+01    es wrong
443515893944184832    en    -1.86E+02    en correct
443516908026224640    eu    -1.39E+02    es wrong
443517887614316545    en    -4.04E+01    en correct
443522494423920640    en    -8.30E+01    en correct
443523754648666112    gl    -4.64E+01    es wrong
443526301643972608    gl    -1.56E+02    es wrong
443528443649859584    en    -1.33E+02    en correct
443528647790833664    gl    -1.01E+02    es wrong
443531028800757760    eu    -2.20E+02    es wrong
443533857263190016    en    -1.58E+02    es wrong
443535239038902272    en    -1.31E+02    en correct
443535501057077248    en    -1.34E+02    en correct
443540084403748864    ca    -7.40E+01    es wrong
443540411198767104    en    -1.36E+02    en correct
443540426361147392    gl    -6.95E+01    es wrong
443540993275883520    gl    -1.34E+02    es wrong
443542009706741761    gl    -5.17E+01    es wrong
443547179140280320    en    -1.43E+02    en correct
443548790939983873    en    -9.29E+01    en correct
443549317899763712    gl    -1.37E+02    es wrong
443557142721986560    gl    -1.39E+02    es wrong
443581304815501312    gl    -1.59E+02    es wrong
443631027173728256    gl    -1.77E+01    es wrong
443643197043245056    en    -1.35E+02    en correct
443643841363836928    en    -1.16E+02    en correct
443644853189373952    eu    -3.33E+01    eu correct
443645697662128128    gl    -2.07E+02    es wrong
443645977837449217    en    -9.75E+01    en correct
443652850900815872    gl    -1.72E+01    es wrong
443655277402144768    gl    -7.85E+01    es wrong
443655541362262016    gl    -4.79E+01    es wrong
443655931575164928    en    -1.37E+02    en correct
443657994870747136    gl    -1.70E+02    es wrong
443658676923273216    eu    -1.49E+02    es wrong
443662209491955712    eu    -6.39E+01    es wrong
443663045047615489    es    -4.32E+01    es correct
443663186177589248    gl    -2.15E+02    es wrong
443666979699040256    gl    -1.12E+02    es wrong
443670029738188800    gl    -7.91E+01    es wrong
443670531439878144    gl    -1.65E+02    es wrong
443672691032469504    gl    -1.98E+02    es wrong
443677340942753792    es    -3.95E+01    es correct
443688501830504448    eu    -4.30E+01    es wrong
443691726746955776    gl    -9.83E+01    es wrong
443695641630629889    gl    -1.03E+01    es wrong
443703576272306176    gl    -1.13E+02    es wrong
443705879528226816    eu    -1.33E+02    es wrong
443711277970763776    gl    -1.15E+02    es wrong
443711296580878336    gl    -1.16E+02    es wrong
443712636392583168    eu    -4.12E+01    es wrong
443723741940703232    eu    -1.16E+02    es wrong
443723947738431488    gl    -7.34E+01    es wrong
443738417953001472    gl    -2.16E+02    es wrong
443739151838752768    eu    -1.04E+02    es wrong
443740542774833152    eu    -4.28E+01    es wrong
443741871287074816    gl    -2.09E+02    es wrong
443743598044258304    en    -1.57E+02    en correct
443745577789308928    eu    -6.61E+01    es wrong
443746349696417792    eu    -4.44E+01    eu correct
443748979617312768    gl    -9.43E+01    es wrong
443749303409209344    gl    -1.63E+02    es wrong
443753568223653889    en    -8.93E+01    en correct
443754798886969344    eu    -8.47E+01    eu correct
443756036319891456    gl    -2.00E+02    es wrong
443758657269145600    en    -1.09E+02    en correct
443759647238135808    eu    -1.07E+02    es wrong
443759724501401600    gl    -3.81E+01    es wrong
443764082643308544    es    -8.74E+01    es correct
443767079418986496    eu    -6.03E+01    eu correct
443771158966833152    gl    -9.21E+01    es wrong
443773480111460352    eu    -9.62E+01    es wrong
443784937465188352    gl    -2.34E+01    es wrong
443785087164100609    en    -6.69E+01    es wrong
443787842901524480    gl    -3.53E+01    es wrong
443790937521930240    eu    -1.00E+02    es wrong
443792656469348352    gl    -5.16E+01    es wrong
443795028234993664    gl    -1.34E+02    es wrong
443796910915457024    gl    -1.94E+02    es wrong
443797547933777920    gl    -8.36E+01    es wrong
443797879812259840    gl    -8.09E+01    es wrong
443799275013943296    gl    -5.47E+01    es wrong
443801494283116545    eu    -5.84E+01    es wrong
443806597941567489    eu    -4.38E+01    es wrong
443807181729964032    gl    -7.23E+01    es wrong
443808368139198464    eu    -2.90E+01    es wrong
443808577162338304    gl    -2.17E+02    es wrong
443808721811300352    gl    -1.32E+02    es wrong
443808804963373056    eu    -1.42E+02    es wrong
443810044774449152    gl    -1.33E+02    es wrong
443810540260179968    gl    -1.60E+01    es wrong
443814000317714432    eu    -1.77E+02    es wrong
443814461930237952    en    -2.40E+02    en correct
443815960857030656    pt    -6.09E+00    es wrong
443817545209233408    gl    -2.26E+02    es wrong
443818027289944066    gl    -1.25E+02    es wrong
443818815672307712    es    -1.80E+01    es correct
443818849839120385    gl    -3.64E+01    es wrong
443818989131923457    gl    -3.38E+01    es wrong
443819391185334272    gl    -6.25E+01    es wrong
443822150341124096    es    -4.06E+01    es correct
443823070625931264    gl    -2.26E+02    es wrong
443823333575233536    gl    -5.34E+01    es wrong
443825757811658752    gl    -1.67E+02    es wrong
443826118517616640    gl    -9.22E+01    es wrong
443829127557423104    gl    -9.47E+01    es wrong
443829251318747136    gl    -1.01E+02    es wrong
443831426375774208    en    -1.71E+02    en correct
443834777603702784    gl    -8.70E+01    es wrong
443834934520983552    eu    -1.23E+01    es wrong
443835803165548544    en    -1.48E+02    en correct
443836180434800640    en    -1.44E+02    en correct
443837383457652737    gl    -4.96E+01    es wrong
443838012565504001    es    -3.58E+00    es correct
443838463180562432    es    -5.38E+01    es correct
443839849641308160    eu    -1.09E+02    es wrong
443839881329250305    gl    -9.26E+01    es wrong
443839942121488384    en    -1.05E+02    en correct
443842929799729152    eu    -4.17E+01    eu correct
443843271950102528    en    -1.12E+02    en correct
443843688230567936    eu    -1.87E+02    eu correct
443845845893799936    gl    -7.21E+01    es wrong
443846184885829632    en    -1.18E+02    en correct
443846567662211072    eu    -7.54E+01    es wrong
443848019126263808    eu    -1.82E+02    es wrong
443848806933987328    en    -1.55E+02    en correct
443850681724968960    eu    -1.18E+02    es wrong
443851940481744896    gl    -3.38E+01    es wrong
443852115300343808    gl    -8.23E+01    es wrong
443852551545692160    gl    -1.43E+02    es wrong
443853042430279681    en    -1.26E+02    en correct
443853490902032384    eu    -1.06E+02    es wrong
443855434286641152    eu    -1.11E+02    es wrong
443856713549348864    eu    -4.48E+01    es wrong
443857288189988864    pt    -8.42E+01    es wrong
443858147602870272    en    -7.99E+01    en correct
443859857683525632    eu    -7.74E+01    en wrong
443860497197445120    eu    -1.26E+02    es wrong
443862546517614592    es    -2.99E+01    es correct
443862598682157056    gl    -4.08E+01    es wrong
443863883166797826    gl    -1.11E+02    es wrong
443863992793313281    eu    -8.56E+01    es wrong
443865243375378432    eu    -1.13E+01    eu correct
443866280844886016    eu    -7.90E+01    es wrong
443868523342069760    gl    -1.70E+02    es wrong
443868703294504960    gl    -3.58E+01    es wrong
443868832764280832    en    -1.15E+02    en correct
443868911684321280    en    -1.26E+02    en correct
443869016084721664    en    -1.26E+02    en correct
443871078008778752    gl    -2.00E+02    es wrong
443871712825065472    en    -1.28E+02    en correct
443872464305930240    en    -1.85E+02    en correct
443873649301680128    eu    -1.21E+02    en wrong
443873918819254272    en    -2.10E+01    en correct
443875707555696640    es    -1.98E+01    es correct
443876431857459201    gl    -1.38E+02    es wrong
443878696320258048    gl    -1.05E+02    es wrong
443881227091996672    gl    -3.35E+01    es wrong
443881800814055424    en    -1.22E+02    en correct
443883930010546176    gl    -1.61E+02    es wrong
443896125507272705    eu    -3.62E+01    es wrong
443896296387387392    en    -8.35E+01    en correct
443897026812870656    en    -1.46E+02    en correct
443897104973697024    en    -1.48E+02    en correct
443910305425674240    eu    -4.60E+01    es wrong
443992441709154304    gl    -1.31E+02    es wrong
443994712517914624    gl    -3.75E+01    es wrong
443997154861154304    gl    -1.79E+02    es wrong
443997897391366144    eu    -1.25E+02    es wrong
443999441121738752    eu    -6.11E+01    eu correct
444006290646650880    eu    -3.39E+01    es wrong
444008323839688704    gl    -9.85E+01    es wrong
444009345207246848    eu    -9.11E+01    eu correct
444016313292578816    gl    -1.76E+02    es wrong
444017403786444800    eu    -9.74E+01    es wrong
444020975135629312    eu    -1.57E+02    es wrong
444023079782875137    gl    -9.07E+01    es wrong
444025793728245761    gl    -1.84E+01    es wrong
444031801695404032    gl    -2.04E+02    es wrong
444032943930212352    eu    -2.16E+02    es wrong
